influencer_name,influencer_id,gender,platform,link,followers,public_perception,engagement_metrics,follower_locations,follower_growth_rate,style,past_collab,age_range,influence_score,trend_alignment_score,impact_score,brand_fit_score
Arjun Verma,5,Male,Instagram,https://www.instagram.com/arjunverma,632767,neutral,81341,"['Jaipur', 'Hyderabad']",0.4260042021936087,"['Western Wear', 'Casual Wear', 'Streetwear', 'Sports and Active Wear']","['Zara', 'Under Armour', 'Adidas', ""Levi's"", 'Gucci', 'Puma', 'H&M', 'Nike', 'Reebok']",25-34,2.289079926811453,1.0,1.6445399634057265,5.700417467166656
Harsh Vardhan,23,Male,Instagram,https://www.instagram.com/harshvardhan,870864,mostly positive,49349,['Jaipur'],0.1475996606189768,"['Casual Wear', 'Streetwear', 'Sports and Active Wear', 'Athleisure']","['Reebok', 'Nike', 'Adidas', 'H&M', 'Puma', ""Levi's"", 'Zara']",25-34,1.6651779390425954,1.0,1.3325889695212978,6.206926891765911
Ajay Mehra,49,Male,Instagram,https://www.instagram.com/ajaymehra,876365,mostly positive,114355,"['Chandigarh', 'Chennai']",0.3507167975248269,"['Streetwear', 'Casual Wear', 'Sports and Active Wear']","['Under Armour', 'H&M', 'Puma', 'Nike', 'Zara', 'Reebok', ""Levi's"", 'Adidas']",18-24,2.166751238221689,0.3714285714285714,1.2690899048251305,6.646883949351944
Mohit Agarwal,47,Male,Instagram,https://www.instagram.com/mohitagarwal,517649,mostly negative,86597,"['Pune', 'Bangalore', 'Jaipur', 'Mumbai']",0.4111596295160462,"['Indian and Fusion Wear', 'Ethnic Casuals', 'Traditional Wear']",['Allen Solly'],35-44,1.0237139444274068,0.9428571428571428,0.9832855436422748,2.782280092068315
Naveen Kumar,33,Male,Instagram,https://www.instagram.com/naveenkumar,1286395,mostly positive,157413,"['Delhi', 'Bangalore']",0.2097282666848219,"['Minimalist Fashion', 'Business Formals']","['Gucci', 'Zara', ""Levi's"", 'Allen Solly']",18-24,1.4980210490479495,0.3714285714285714,0.9347248102382604,6.112655578567379
Aditya Kapoor,15,Male,Instagram,https://www.instagram.com/adityakapoor,1160901,positive,295379,"['Pune', 'Ahmedabad', 'Mumbai']",0.1655711095575179,"['Athleisure', 'Sports and Active Wear']","['Reebok', 'Under Armour', 'Adidas']",25-34,1.4361725508557384,0.4285714285714286,0.9323719897135836,4.650647409650054
Ravi Dubey,17,Male,Instagram,https://www.instagram.com/ravidubey,107287,positive,38371,['Kolkata'],0.2303063425531302,"['Athleisure', 'Streetwear']","['H&M', 'Puma', 'Adidas', 'Under Armour', 'Nike', 'Zara']",18-24,1.4541011272623667,0.3714285714285714,0.9127648493454692,2.6436313941241383
Rajesh Iyer,19,Male,Instagram,https://www.instagram.com/rajeshier,708014,mostly negative,222523,"['Jaipur', 'Chennai', 'Hyderabad']",0.4983564548149038,"['Workout Gear', 'Athleisure']",['Puma'],35-44,0.8650577898302758,0.9428571428571428,0.9039574663437092,3.485094215509717
Abhishek Pandey,35,Male,Instagram,https://www.instagram.com/abhishekpandey,1119791,mostly positive,173062,"['Hyderabad', 'Kolkata']",0.6435416303634762,"['Western Wear', 'Streetwear']","['Gucci', ""Levi's"", 'Zara', 'H&M']",18-24,1.3896048123937177,0.3714285714285714,0.8805166919111446,6.104063594030146
Deepak Kumar,1,Male,Instagram,https://www.instagram.com/deepakkumar,449735,neutral,49858,"['Ahmedabad', 'Hyderabad']",0.2607112606405097,"['Formal Wear', 'Urban Fashion']","['Allen Solly', 'Zara', 'Gucci', ""Levi's""]",18-24,1.3774956338196946,0.3714285714285714,0.874462102624133,3.510972335002348
