Year,Month,Season,url,product_id,BrandName,Category,Individual_Category,Category_by_Gender,Description,DiscountPrice (in Rupees),OriginalPrice (in Rupees),DiscountOffer (in %),PrimaryColor,Historical Sales Data (in units),Market Condition,Size,Age Range,Customer Reviews,Geographic Location,Material,Pattern,Social Media Mentions,Search Trends,Return Rate (in units),Events and Festivals,Event and Festival Name,Customer Ratings (1 to 5 Scale),CategoryType
2022,6,Summer,https://www.myntra.com/lhwjsvq6jg,7KUZG1TBEJUT,Levis,Accessories,Belts,Men,Eco-friendly material,3248.79,4163.62,21.97,Green,890,Growing,XL,35-44,917,Pune,Cotton,Polka Dot,22,1936,0.28,New Year,New Year,5,Casual Wear
2022,11,Winter,https://www.myntra.com/y81uhwu5hn,WPC6G0CCXLQV,Adidas,Footwear,Flip Flops,Women,Eco-friendly material,3494.29,4455.81,21.58,Purple,161,Declining,XS,18-24,591,Hyderabad,Denim,Checked,173,4887,0.07,Holi,Holi,3,Streetwear
2022,9,Winter,https://www.myntra.com/w62xskh7br,B2IGWKF4VI3U,Zara,Footwear,Sneakers,Women,Trendy and stylish,1887.74,3605.05,47.64,Orange,495,Growing,XL,25-34,33,Chandigarh,Cotton,Solid,423,4558,0.07,New Year,New Year,4,Indian and Fusion Wear
2022,2,Winter,https://www.myntra.com/vshz950suq,2WK7QTGQYREU,Nike,Accessories,Jewelry,Men,Eco-friendly material,3731.58,5194.29,28.16,Black,893,Declining,L,25-34,879,Delhi,Cotton,Polka Dot,150,190,0.29,Diwali,Diwali,1,Minimalist Fashion
2022,1,Fall,https://www.myntra.com/wjqkntv7rd,L7N9LPLC2AAC,Adidas,Accessories,Belts,Unisex,Limited edition,1151.18,1546.95,25.58,Pink,126,Declining,XS,35-44,582,Pune,Cotton,Striped,87,2028,0.03,Diwali,Diwali,2,Athleisure
2022,1,Summer,https://www.myntra.com/u9v8yonf52,D529PB2LDOJJ,Levis,Footwear,Sneakers,Women,Limited edition,1001.24,1995.24,49.82,White,207,Growing,XL,25-34,98,Kolkata,Polyester,Checked,326,815,0.23,Christmas,Christmas,3,Formal Wear
2022,7,Winter,https://www.myntra.com/32pf5hwnsl,B6OWAN6FV3F8,H&M,Clothing,Jeans,Women,Eco-friendly material,2656.5,4927.77,46.09,Brown,304,Growing,XS,35-44,583,Chandigarh,Wool,Striped,302,3426,0.18,Christmas,Christmas,3,Sports and Active Wear
2022,9,Winter,https://www.myntra.com/b0s4if1adr,W3DKEYFGSTCL,Reebok,Accessories,Handbags,Unisex,Comfortable and durable,3520.35,4500.27,21.77,Orange,570,Stable,M,18-24,963,Mumbai,Wool,Printed,61,7006,0.05,Diwali,Diwali,5,Streetwear
2022,2,Summer,https://www.myntra.com/e2u0pmramn,JWRZQVSVPIP7,Puma,Clothing,Dresses,Men,High quality product,4951,9230.02,46.36,Black,761,Stable,XXL,25-34,255,Chandigarh,Cotton,Checked,351,6550,0.01,Navratri,Navratri,4,Vintage Clothing
2022,9,Winter,https://www.myntra.com/fek1k2d410,473HU8R64P3Q,Gucci,Clothing,T-Shirts,Women,Comfortable and durable,3656.36,5022.85,27.21,Yellow,225,Growing,M,25-34,106,Jaipur,Denim,Floral,419,4856,0.14,New Year,New Year,1,Bohemian Style
2022,4,Winter,https://www.myntra.com/ie0jjpugyx,OGZEVQ5GN31C,Levis,Footwear,Boots,Men,Eco-friendly material,3826.77,5508.51,30.53,Purple,999,Growing,XS,18-24,714,Hyderabad,Polyester,Polka Dot,18,6172,0.28,Diwali,Diwali,1,Gothic Fashion
2022,11,Spring,https://www.myntra.com/59plp02t4t,915A4XHPKOSY,Levis,Footwear,Formal Shoes,Unisex,Trendy and stylish,4284.54,5760.53,25.62,Blue,678,Stable,XXL,18-24,335,Hyderabad,Leather,Solid,390,8589,0.15,Holi,Holi,4,Vintage Clothing
2022,6,Summer,https://www.myntra.com/wnz5wvgzep,FMY562QYUWW9,Puma,Footwear,Sandals,Women,Eco-friendly material,4568.49,8037.53,43.16,Yellow,730,Declining,L,25-34,615,Chennai,Polyester,Checked,475,9123,0.17,Holi,Holi,2,Ethnic Casuals
